id;"Comp. Word";Pronunciation;"English Translation";Frequency
22845;穢土;edo;"this impure world";6
22846;綸子;rinzu;"figured satin";6
22847;諧調;kaityoo;"harmonious melody";6
22848;譴責;kenseki;reprimand;6
22849;貪食;donsyoku;voracity;6
22850;轆轤;rokuro;lathe;6
22851;颯々;sassatu;rustling;6
22852;麝香;zyakoo;musk;6
22853;亜聖;asei;"sage of the second order";5
22854;阿鼻;abi;Avici;5
22855;悪疫;akueki;epidemic;5
22856;悪罵;akuba;curse;5
22857;以西;isei;"... and westward";5
22858;慰藉;isya;consolation;5
22859;異域;iiki;"foreign lands";5
22860;異字;izi;"different character";5
22861;遺業;igyoo;"work left at death";5
22862;一頃;hitokoro;once;5
22863;一束;issoku;"a bundle";5
22864;一面;itimen;"one face";5
22865;逸民;itumin;"retired person";5
22866;員外;ingai;non-membership;5
22867;因襲;insyuu;convention;5
22868;引見;inken;audience;5
22869;引札;hikihuda;"announcement flier";5
22870;飲水;nomimizu;"drinking water";5
22871;淫靡;inbi;impurity;5
22872;院議;ingi;"legislative decision";5
22873;丑寅;usitora;northeast;5
22874;鋭鋒;eihoo;"brunt of attack or argument";5
22875;円蓋;engai;cupola;5
22876;猿股;sarumata;undershorts;5
22877;縁辺;enpen;edge;5
22878;遠戚;enseki;"distant relative";5
22879;遠矢;tooya;"long-distance arrow";5
22880;鉛毒;endoku;"lead poisoning";5
22881;黄熱;ERROR;"yellow fever";5
22882;億万;okuman;"millions and millions";5
22883;温容;onyoo;"kindly face";5
22884;下枝;sizue;"lower branches of a tree";5
22885;下名;kamei;undermentioned;5
22886;可読;kadoku;readable;5
22887;河鹿;kazika;"kajika frog";5
22888;火影;hokage;firelight;5
22889;火酒;kasyu;"strong drink";5
22890;苛政;kasei;tyranny;5
22891;荷担;katan;support;5
22892;蝦蟇;gama;toad;5
22893;課業;kagyoo;schoolwork;5
22894;蚊柱;kabasira;"mosquito swarm";5
22895;画稿;gakoo;sketch;5
22896;画鋲;gabyoo;"drawing pin";5
22897;会読;kaidoku;"reading-and-discussion meeting";5
22898;懐剣;kaiken;dagger;5
22899;改鋳;kaityuu;reminting;5
22900;魁偉;kaii;brawny;5
22901;海気;kaiki;"sea air";5
22902;海里;kairi;"nautical mile";5
22903;外教;gaikyoo;"foreign religion";5
22904;外征;gaisei;"foreign campaign";5
22905;外典;geten;Apocrypha;5
22906;格技;kakugi;"martial arts which involve fighting without weapons";5
22907;角行;kakkoo;bishop;5
22908;角帯;kakuobi;"man's stiff sash";5
22909;学帽;gakuboo;"school cap";5
22910;楽典;gakuten;"compositional rules";5
22911;掛図;kakezu;"wall map or chart";5
22912;梶木;kaziki;marlin;5
22913;割物;waremono;"fragile item";5
22914;鎌髭;kamahige;"sickle-shaped moustache";5
22915;乾湿;kansitu;"degree of humidity";5
22916;乾田;kanden;"dry paddy field";5
22917;冠詞;kansi;article;5
22918;寒心;kansin;deplorable;5
22919;寒露;kanro;"late-autumn or early-winter dew";5
22920;官辺;kanpen;"government or official circles";5
22921;干害;kangai;"drought disaster";5
22922;干犯;kanpan;infringement;5
22923;間者;kanzya;spy;5
22924;間歇;kanketu;intermittence;5
22925;玩味;ganmi;relish;5
22926;岩組;iwagumi;"arrangement of stones in a garden";5
22927;贋物;nisemono;"spurious article";5
22928;器機;kiki;device;5
22929;奇矯;kikyoo;eccentric;5
22930;机辺;kihen;"near a desk";5
22931;帰帆;kihan;"returning sailboat";5
22932;帰来;kirai;returning;5
22933;気根;kikon;"aerial root";5
22934;気侭;kimama;willful;5
22935;徽章;kisyoo;medal;5
22936;貴下;kika;you;5
22937;貴顕;kiken;"distinguished person";5
22938;起電;kiden;"generation of electricity";5
22939;妓女;gizyo;"woman entertainer";5
22940;義戦;gisen;"a crusade";5
22941;客気;kakki;"youthful ardor";5
22942;脚韻;kyakuin;rhyme;5
22943;逆臣;gyakusin;"treacherous retainer";5
22944;逆接;gyakusetu;"contradictory conjunction";5
22945;弓術;kyuuzyutu;archery;5
22946;窮境;kyuukyoo;predicament;5
22947;旧株;kyuukabu;"old stock";5
22948;旧領;kyuuryoo;"old fief";5
22949;牛糞;gyuuhun;"cattle manure";5
22950;虚数;kyosuu;"complex number";5
22951;虚名;kyomei;"false reputation";5
22952;共棲;kyoosei;symbiosis;5
22953;境域;kyooiki;boundary;5
22954;橋架;kyooka;"bridge girder";5
22955;胸高;munadaka;"obi worn high on the waist";5
22956;郷党;kyootoo;"people from one's hometown";5
22957;暁光;gyookoo;"the light of dawn";5
22958;極光;kyokkoo;"northern or southern lights";5
22959;僅少;kinsyoo;few;5
22960;謹厳;kingen;stern;5
22961;近着;kintyaku;"newly arrived";5
22962;近日;kinzitu;soon;5
22963;金位;kini;"fineness of gold";5
22964;金頭;kanagasira;"redwing searobin";5
22965;金牌;kinpai;"gold medal";5
22966;金仏;kanabutu;"metal statue of Buddha";5
22967;銀狐;gingitune;"silver fox";5
22968;空木;utugi;deutzia;5
22969;寓居;guukyo;"temporary abode";5
22970;串柿;kusigaki;"dried persimmons on a skewer";5
22971;屑屋;kuzuya;ragman;5
22972;屈葬;kussoo;"crouched burial";5
22973;屈伏;kuppuku;yielding;5
22974;君側;kunsoku;"proximity of a monarch or lord";5
22975;君命;kunmei;"the orders of one's ruler";5
22976;群小;gunsyoo;trifling;5
22977;軍夫;gunpu;"military porter";5
22978;経穴;keiketu;"acupuncture point";5
22979;継起;keiki;"occurring in succession";5
22980;継目;tugime;joint;5
22981;蛍草;hotarugusa;dayflower;5
22982;軽躁;keisoo;thoughtless;5
22983;芸子;geiko;geisha;5
22984;鯨飲;geiin;"drinking hard";5
22985;血合;tiai;"that is dark red with blood, usu. coming from the parts close to the spine";5
22986;血戦;kessen;"bloody battle";5
22987;血路;keturo;"way out";5
22988;月頃;tukigoro;"these past months";5
22989;健勝;kensyoo;"good health";5
22990;健啖;kentan;gluttony;5
22991;懸架;kenka;suspension;5
22992;権高;kendaka;pride;5
22993;権道;kendoo;"inappropriate means to a worthy end";5
22994;献言;kengen;"right to speak";5
22995;見合;miai;"formal marriage interview";5
22996;元請;motouke;"prime contract work";5
22997;原鉱;genkoo;ore;5
22998;厳存;genson;"real existence";5
22999;舷側;gensoku;"ship's side";5
23000;古雅;koga;"classical elegance";5
23001;古学;kogaku;"classical studies";5
23002;姑娘;kuunyan;girl;5
23003;戸車;toguruma;"sash roller";5
23004;枯枝;kareeda;"dead branch";5
23005;股肱;kokoo;"one's right-hand man";5
23006;鼓手;kosyu;drummer;5
23007;五戒;gokai;"the five precepts";5
23008;五常;gozyoo;"the five cardinal Confucian virtues";5
23009;後室;koositu;dowager;5
23010;後夜;goya;"period from midnight until the early morning";5
23011;御茶;otya;tea;5
23012;公主;koosyu;princess;5
23013;口吻;koohun;"way of speaking";5
23014;向性;koosei;tropism;5
23015;好配;koohai;"good spouse";5
23016;孝心;koosin;"filial devotion";5
23017;宏大;koodai;huge;5
23018;工匠;koosyoo;artisan;5
23019;工数;koosuu;workload;5
23020;昂奮;koohun;excitement;5
23021;構外;koogai;"off grounds";5
23022;港口;kookoo;"harbor entrance";5
23023;綱手;tunade;"mooring rope";5
23024;膏肓;kookoo;"incurable disease";5
23025;荒原;koogen;wilderness;5
23026;荒寥;kooryoo;desolate;5
23027;豪気;gooki;great;5
23028;轟々;googoo;thunderous;5
23029;刻限;kokugen;time;5
23030;黒熊;kurokuma;"black bear";5
23031;黒貂;kuroten;sable;5
23032;魂魄;konpaku;soul;5
23033;才智;saiti;"wit and intelligence";5
23034;犀利;sairi;sharp;5
23035;細流;sairyuu;streamlet;5
23036;在俗;zaizoku;"layman or laity";5
23037;雑色;zassyoku;"assorted colors";5
23038;雑品;zappin;sundries;5
23039;雑話;zatuwa;chitchat;5
23040;三昧;sanmai;;5
23041;山襞;yamahida;"folds of a mountain";5
23042;散開;sankai;deployment;5
23043;残生;zansei;"the remainder of one's life";5
23044;仕儀;sigi;situation;5
23045;史蹟;siseki;"historic landmark";5
23046;四面;simen;"four sides";5
23047;子種;kodane;children;5
23048;支弁;siben;payment;5
23049;斯界;sikai;"this field or subject";5
23050;施薬;seyaku;"free medicine";5
23051;枝折;siori;bookmark;5
23052;止宿;sisyuku;lodging;5
23053;死斑;sihan;"postmortem lividity";5
23054;紙魚;simi;"true bristletail";5
23055;紙型;sikei;stencil;5
23056;持碁;zigo;"Go game resulting in tie or draw";5
23057;時化;sike;"stormy weather";5
23058;治下;tika;"under the rule of";5
23059;磁化;zika;magnetization;5
23060;式服;sikihuku;"ceremonial dress";5
23061;七重;nanae;sevenfold;5
23062;射影;syaei;projection;5
23063;社則;syasoku;"company regulations";5
23064;社畜;syatiku;"corporate slave";5
23065;邪宗;zyasyuu;heresy;5
23066;酌婦;syakuhu;barmaid;5
23067;弱化;zyakka;weakening;5
23068;主音;syuon;tonic;5
23069;主薬;syuyaku;"principal agent";5
23070;手鼻;tebana;"blowing one's nose with one's fingers";5
23071;朱書;syusyo;"writing in red";5
23072;朱墨;syuzumi;"red-ink stick";5
23073;酒色;syusyoku;"wine and women";5
23074;受皿;ukezara;saucer;5
23075;樹幹;zyukan;trunk;5
23076;収税;syuuzei;"tax collection";5
23077;周密;syuumitu;scrupulous;5
23078;宗徒;syuuto;believer;5
23079;就床;syuusyoo;bedridden;5
23080;秋気;syuuki;"autumn air";5
23081;衆寡;syuuka;"the many and the few";5
23082;衆評;syuuhyoo;"public opinion";5
23083;衆望;syuuboo;"public confidence";5
23084;醜状;syuuzyoo;"disgraceful state of affairs";5
23085;十目;zyuumoku;"all eyes";5
23086;十薬;zyuuyaku;"chameleon plant";5
23087;柔弱;nyuuzyaku;weakness;5
23088;獣皮;zyuuhi;hide;5
23089;宿業;syukugoo;karma;5
23090;宿世;syukuse;"one's previous existence";5
23091;術語;zyutugo;"technical term";5
23092;旬間;zyunkan;"period of ten days";5
23093;初穂;hatuho;"first ears of rice or crops or harvest of the season";5
23094;諸刃;moroha;double-edged;5
23095;助勢;zyosei;encouragement;5
23096;序言;zyogen;foreword;5
23097;勝景;syookei;"scenic view";5
23098;小器;syooki;"small container";5
23099;焼鳥;yakitori;yakitori;5
23100;焦熱;syoonetu;"scorching heat";5
23101;祥瑞;syoozui;"good omen";5
23102;証跡;syooseki;proof;5
23103;象限;syoogen;quadrant;5
23104;賞揚;syooyoo;praise;5
23105;上製;zyoosei;"superior make";5
23106;上目;uwame;"upward glance";5
23107;乗法;zyoohoo;multiplication;5
23108;常宿;zyooyado;"one's regular inn or hotel";5
23109;殖民;syokumin;colonization;5
23110;織元;orimoto;"textile manufacturer";5
23111;色刷;irozuri;"colour printing";5
23112;心学;singaku;"Edo-period popularized blend of Buddhist, Shinto and Confucian ethical teachings ";5
23113;心気;sinki;mentality;5
23114;心事;sinzi;mind;5
23115;心胆;sintan;heart;5
23116;振舞;hurumai;behavior;5
23117;新巻;aramaki;"salted salmon";5
23118;新香;sinkoo;"pickled vegetables";5
23119;深更;sinkoo;"middle of the night";5
23120;神子;miko;"shrine maiden";5
23121;神慮;sinryo;"divine will";5
23122;人穴;hitoana;"volcanic cave traditionally said to be inhabited";5
23123;靭帯;zintai;ligament;5
23124;垂線;suisen;"perpendicular line";5
23125;推賞;suisyoo;admiration;5
23126;酔余;suiyo;drunken;5
23127;随従;zuizyuu;"following the lead of";5
23128;枢密;suumitu;"state secrets";5
23129;寸描;sunbyoo;"thumbnail sketch";5
23130;性感;seikan;"sexual feelings";5
23131;正閏;seizyun;"normal and leap";5
23132;正覚;syoogaku;"perfect enlightenment";5
23133;正眼;seigan;"aiming at the eye";5
23134;正業;seigyoo;"legitimate occupation";5
23135;清音;seion;"unvoiced sound";5
23136;盛名;seimei;reputation;5
23137;精練;seiren;scouring;5
23138;聖恩;seion;"imperial blessings or favor";5
23139;聖日;seizitu;"holy day";5
23140;誓願;seigan;vow;5
23141;石墨;sekiboku;graphite;5
23142;石鏃;sekizoku;"flint arrowhead";5
23143;赤錆;akasabi;rust;5
23144;切身;kirimi;cut;5
23145;切磋;sessa;polishing;5
23146;接線;sessen;tangent;5
23147;折鶴;orizuru;"folded paper crane";5
23148;節義;setugi;"fidelity to principle";5
23149;節食;sessyoku;"eating lightly";5
23150;雪空;yukizora;"snow-laden sky";5
23151;先師;sensi;"former teacher";5
23152;先途;sendo;"crisis in a battle";5
23153;先入;sennyuu;preconception;5
23154;先付;sakizuke;appetizer;5
23155;先夫;senpu;"former husband";5
23156;戦備;senbi;"preparations for war";5
23157;撰集;sensyuu;selection;5
23158;選科;senka;"elective course or subject";5
23159;鮮麗;senrei;vivid;5
23160;前借;zensyaku;"getting an advance";5
23161;禅味;zenmi;"the flavor of Zen";5
23162;疎林;sorin;"sparse woods";5
23163;粗衣;soi;"simple clothes";5
23164;素志;sosi;"longstanding desire or goal";5
23165;組歌;kumiuta;"var. of folksong";5
23166;僧位;sooi;"priestly rank";5
23167;僧徒;sooto;priests;5
23168;僧都;soozu;"Buddhist priest";5
23169;創見;sooken;originality;5
23170;喪神;soosin;"losing consciousness";5
23171;争覇;sooha;"contending for victory";5
23172;痩躯;sooku;lean;5
23173;相役;aiyaku;colleague;5
23174;促音;sokuon;"assimilated sound";5
23175;即行;sokkoo;"immediately carrying out";5
23176;足枷;asikase;fetters;5
23177;俗臭;zokusyuu;vulgarity;5
23178;尊攘;sonzyoo;"revering the Emperor";5
23179;他事;tazi;"other matters";5
23180;多謝;tasya;"many thanks";5
23181;多端;tatan;"many items";5
23182;退座;taiza;"leaving one's seat";5
23183;退勢;taisei;decline;5
23184;隊伍;taigo;"ranks of troops";5
23185;鯛焼;taiyaki;"fish-shaped pancake filled with bean jam";5
23186;代言;daigen;advocacy;5
23187;大円;daien;"large circle";5
23188;大形;oogyoo;exaggeration;5
23189;脱営;datuei;desertion;5
23190;脱俗;datuzoku;unworldliness;5
23191;単作;tansaku;"single crop";5
23192;単葉;tanyoo;"simple leaf";5
23193;短躯;tanku;"short stature";5
23194;短靴;tangutu;shoes;5
23195;端居;hasii;"sitting on a veranda";5
23196;値上;neage;"price hike";5
23197;智識;tisiki;knowledge;5
23198;智者;tisya;sage;5
23199;茶袋;tyabukuro;teabag;5
23200;中音;tyuuon;mediant;5
23201;中農;tyuunoo;"middle-class farmer";5
23202;忠言;tyuugen;advice;5
23203;忠霊;tyuurei;"the loyal dead";5
23204;著聞;tyobun;"something well-known throughout the world";5
23205;徴募;tyoobo;enlistment;5
23206;長剣;tyooken;"long sword";5
23207;長幼;tyooyoo;"young and old";5
23208;勅許;tyokkyo;"imperial sanction";5
23209;沈香;zinkoo;aloes;5
23210;鎮定;tintei;suppression;5
23211;追訴;tuiso;"supplementary suit or indictment";5
23212;痛点;tuuten;"pain point";5
23213;通交;tuukoo;"friendly relations";5
23214;通辞;tuuzi;translation;5
23215;通分;tuubun;reduce;5
23216;通弊;tuuhei;"common evil";5
23217;綴方;tuzurikata;"literary composition";5
23218;椿事;tinzi;"strange occurrence";5
23219;釣堀;turibori;"fish pond";5
23220;低廉;teiren;cheap;5
23221;定位;teii;position;5
23222;泥濘;nukarumi;quagmire;5
23223;滴下;tekika;drip;5
23224;適例;tekirei;exemplification;5
23225;天朝;tentyoo;"imperial court";5
23226;転宅;tentaku;"changing residence";5
23227;伝馬;tenma;"post horse";5
23228;兎角;tokaku;"various things";5
23229;徒食;tosyoku;"idle life";5
23230;登仙;toosen;"becoming a saint";5
23231;度合;doai;degree;5
23232;凍害;toogai;"frost damage";5
23233;唐衣;karaginu;"short coat for noblewomen";5
23234;唐土;toodo;China;5
23235;湯桶;yutoo;"pail-like wooden container typically lacquered in Japanese style, used for holding and serving hot liquids";5
23236;当今;tookon;nowadays;5
23237;動因;dooin;drive;5
23238;堂塔;dootoo;temple;5
23239;徳行;tokkoo;"virtuous act or deeds";5
23240;涜神;tokusin;blasphemy;5
23241;禿山;hageyama;"bald mountain";5
23242;鳶尾;itihatu;"wall iris";5
23243;頓智;tonti;wit;5
23244;鈍重;donzyuu;dullness;5
23245;捺染;nassen;print;5
23246;軟性;nansei;softness;5
23247;軟便;nanben;"loose or soft stool";5
23248;日脚;hiasi;daytime;5
23249;入射;nyuusya;incidence;5
23250;尿瓶;sibin;"urine bottle";5
23251;猫車;nekoguruma;wheelbarrow;5
23252;念珠;nenzyu;rosary;5
23253;捻転;nenten;twisting;5
23254;把持;hazi;grasp;5
23255;破牢;haroo;"prison breaking";5
23256;馬喰;bakuroo;"cattle or horse trader";5
23257;拝受;haizyu;receiving;5
23258;肺腑;haihu;lungs;5
23259;媒酌;baisyaku;matchmaking;5
23260;泊地;hakuti;anchorage;5
23261;薄荷;hakka;mint;5
23262;八苦;hakku;"the eight kinds of suffering";5
23263;醗酵;hakkoo;fermentation;5
23264;半休;hankyuu;"half holiday";5
23265;半平;hanpen;"pounded fish cake";5
23266;反収;tansyuu;"production per tan";5
23267;挽肉;hikiniku;"minced meat";5
23268;晩霜;bansoo;"a late frost";5
23269;番兵;banpei;sentry;5
23270;卑属;hizoku;"lineal descendants";5
23271;彼奴;aitu;he;5
23272;被虐;higyaku;suffering;5
23273;微震;bisin;"slight earthquake";5
23274;美育;biiku;"training in aesthetics";5
23275;美辞;bizi;"flowery language";5
23276;膝下;hizamoto;"near one's knee";5
23277;筆塚;hudezuka;"mound covering reverently buried old brushes";5
23278;筆鋒;hippoo;"power of the pen";5
23279;百歳;momotose;century;5
23280;表口;omoteguti;"front door";5
23281;評語;hyoogo;"critical remarks";5
23282;廟堂;byoodoo;"the Court";5
23283;病舎;byoosya;hospital;5
23284;病勢;byoosei;"a patient's condition";5
23285;貧寒;hinkan;destitution;5
23286;不孝;hukoo;"undutifulness to one's parents";5
23287;不羈;huki;freedom;5
23288;夫子;huusi;"term of address for a teacher";5
23289;富札;tomihuda;"lottery ticket";5
23290;敷板;sikiita;floorboard;5
23291;武威;bui;"military power";5
23292;武神;busin;"god of military arts";5
23293;部将;busyoo;"commanding officer";5
23294;部民;bumin;"people belonging to a hereditary occupation group";5
23295;封切;huukiri;premiere;5
23296;物療;buturyoo;"physical treatment";5
23297;粉炭;huntan;"charcoal dust";5
23298;粉米;kogome;"crushed rice";5
23299;文運;bunun;"cultural progress";5
23300;文盲;monmoo;illiteracy;5
23301;聞香;bunkoo;"smelling incense";5
23302;平分;heibun;bisection;5
23303;平文;heibun;"plain text";5
23304;碧眼;hekigan;"blue eyes";5
23305;碧玉;hekigyoku;jasper;5
23306;別家;bekke;"branch family";5
23307;別様;betuyoo;different;5
23308;偏人;henzin;"eccentric person";5
23309;偏流;henryuu;drift;5
23310;変移;heni;change;5
23311;片恋;katakoi;"unrequited love";5
23312;編笠;amigasa;"braided hat";5
23313;辺疆;henkyoo;"remote region";5
23314;辺鄙;henpi;"hard to reach place";5
23315;歩廊;horoo;corridor;5
23316;母権;boken;"maternal rights";5
23317;奉献;hooken;dedication;5
23318;放擲;hooteki;abandoning;5
23319;朋輩;hoobai;comrade;5
23320;法家;hooka;lawyer;5
23321;法例;hoorei;"rules concerning application of laws";5
23322;砲塔;hootoo;"gun turret";5
23323;萌葱;moegi;"light yellowish green";5
23324;鳳雛;hoosuu;"gifted young person who shows much promise";5
23325;傍題;boodai;subtitle;5
23326;暴状;boozyoo;"an atrocity or outrage";5
23327;紡錘;boosui;spindle;5
23328;北枕;kitamakura;"lying with one's head to the north";5
23329;牧舎;bokusya;barn;5
23330;没前;botuzen;"prior to death";5
23331;本営;honei;headquarters;5
23332;本会;honkai;"formal meeting";5
23333;本膳;honzen;"regular dinner";5
23334;磨耗;mamoo;wear;5
23335;毎時;maizi;"every hour";5
23336;枕頭;tintoo;bedside;5
23337;枕辺;makurabe;bedside;5
23338;末筆;mappitu;"part of end phrase in a letter";5
23339;万才;banzai;"crying ""banzai"" ";5
23340;漫筆;manpitu;"random jottings";5
23341;未草;hituzigusa;"pygmy waterlily";5
23342;妙策;myoosaku;"clever scheme";5
23343;妙諦;myootei;"amazing truth";5
23344;無位;mui;"lacking rank";5
23345;冥加;myooga;"divine protection or blessing";5
23346;命婦;myoobu;"title for high-ranking court ladies";5
23347;明晩;myooban;"tomorrow evening";5
23348;明眸;meiboo;"bright or beautiful eyes";5
23349;面魂;turadamasii;"fierce or defiant look";5
23350;面舵;omokazi;starboard;5
23351;面部;menbu;face;5
23352;面壁;menpeki;"meditation facing a wall";5
23353;面貌;menboo;looks;5
23354;盲信;moosin;"blind acceptance";5
23355;蒙昧;moomai;ignorance;5
23356;木靴;kigutu;"wooden shoes";5
23357;木皮;mokuhi;"tree bark";5
23358;木槿;mukuge;"rose of Sharon";5
23359;門衛;monei;gatekeeper;5
23360;門付;kadozuke;"door-to-door entertainment";5
23361;野卑;yahi;vulgar;5
23362;野蒜;nobiru;"wild rocambole";5
23363;矢車;yaguruma;"arrow wheel";5
23364;矢来;yarai;"rough fence of bamboo, logs, etc. constructed at battle sites or execution grounds";5
23365;油状;yuzyoo;oily;5
23366;悠悠;yuuyuu;quiet;5
23367;雄壮;yuusoo;heroic;5
23368;雄鳥;ondori;cock;5
23369;予納;yonoo;"advance payment";5
23370;余所;yoso;"another place";5
23371;揚幕;agemaku;"entrance curtain";5
23372;洋髪;yoohatu;"Western hairdressing";5
23373;用木;yooboku;timber;5
23374;羊蹄;gisigisi;;5
23375;来診;raisin;"doctor's visit";5
23376;雷撃;raigeki;"being struck by lightning";5
23377;落丁;rakutyoo;"missing pages";5
23378;吏道;ridoo;"official ethics";5
23379;離郷;rikyoo;"departure from one's home town";5
23380;陸封;rikuhuu;landlocked;5
23381;立札;tatehuda;"bulletin board";5
23382;掠奪;ryakudatu;pillage;5
23383;略装;ryakusoo;demitoilet;5
23384;両刀;ryootoo;"two swords";5
23385;療治;ryoozi;treatment;5
23386;糧秣;ryoomatu;"military provisions and cavalry horse fodder";5
23387;良風;ryoohuu;"good custom";5
23388;臨空;rinkuu;"airport site";5
23389;鱗茎;rinkei;bulb;5
23390;累代;ruidai;"successive generations";5
23391;類従;ruizyuu;"assembling according to type";5
23392;令旨;reisi;"prince's message";5
23393;伶人;reizin;"court musician";5
23394;励磁;reizi;excitation;5
23395;霊異;reii;miracle;5
23396;霊剣;reiken;"sword possessing mystical powers";5
23397;列藩;reppan;"many feudal clans";5
23398;練磨;renma;training;5
23399;老翁;roooo;"old man";5
23400;老熟;roozyuku;maturity;5
23401;老生;roosei;"elderly person's polite reference to self";5
23402;聾者;roosya;"deaf person";5
23403;和琴;wagon;"six-stringed Japanese zither";5
23404;和金;wakin;"Japanese wakin goldfish variety";5
23405;仄聞;sokubun;"casually hearing";5
23406;俯仰;hugyoo;"looking up and down";5
23407;凛凛;rinrin;severe;5
23408;吝嗇;rinsyoku;stinginess;5
23409;壟断;roodan;monopoly;5
23410;罹病;ribyoo;"contraction of a disease";5
23411;掣肘;seityuu;restraint;5
23412;朧月;oborozuki;"hazy moon";5
23413;檜木;hinoki;"hinoki cypress";5
23414;棕櫚;syuro;"Chinese windmill palm";5
23415;榴弾;ryuudan;"high-explosive projectile";5
23416;毬藻;marimo;marimo;5
23417;燻蒸;kunzyoo;fumigation;5
23418;眩惑;genwaku;dazzling;5
23419;緞子;donsu;"silk damask";5
23420;翔破;syooha;"completing a flight";5
23421;艤装;gisoo;"fitting-out of a ship";5
23422;茘枝;reisi;litchi;5
23423;蚯蚓;mimizu;earthworm;5
23424;襁褓;osime;diaper;5
23425;蹲踞;sonkyo;crouching;5
23426;邏卒;rasotu;"serviceman on patrol";5
23427;雉鳩;kizibato;"Oriental turtle dove";5
23428;霹靂;hekireki;thunder;5
23429;饂飩;udon;udon;5
23430;阿諛;ayu;flattery;4
23431;哀訴;aiso;appeal;4
23432;逢着;hootyaku;encounter;4
23433;悪所;akusyo;"dangerous area";4
23434;梓弓;azusayumi;"catalpa bow";4
23435;安座;anza;"sitting quietly";4
23436;闇米;yamigome;"black-market rice";4
23437;依託;itaku;dependence;4
23438;遺賢;iken;"able men left out of office";4
23439;遺筆;ihitu;"writing left by the deceased";4
23440;遺風;ihuu;tradition;4
23441;医界;ikai;"medical world";4
23442;井桁;igeta;"well lining";4
23443;一一;itiiti;one-by-one;4
23444;一指;issi;finger;4
23445;一隻;isseki;"one boat";4
23446;逸事;ituzi;anecdote;4
23447;逸走;issoo;escape;4
23448;因業;ingoo;heartless;4
23449;引金;hikigane;trigger;4
23450;陰間;kagema;"homosexual prostitute who sold favors at banquets, etc. ";4
23451;陰刻;inkoku;"hollow relief";4
23452;陰毛;inmoo;"pubic hair";4
23453;烏兎;uto;"sun and moon";4
23454;雨下;uka;raining;4
23455;雨蛙;amagaeru;"tree frog";4
23456;雨気;amake;"signs of rain";4
23457;瓜田;kaden;"melon field";4
23458;雲霞;unka;"clouds and haze";4
23459;雲丹;uni;"sea urchin";4
23460;詠草;yomikusa;"draft poem";4
23461;駅手;ekisyu;"station worker";4
23462;厭味;iyami;disagreeableness;4
23463;円貨;enka;"yen currency";4
23464;鉛直;entyoku;perpendicular;4
23465;王公;ookoo;"king and princes";4
23466;黄麻;ooma;jute;4
23467;温灸;onkyuu;"moxa cautery";4
23468;温石;onzyaku;"heated stone";4
23469;下作;sitasaku;"poor manufacture";4
23470;下等;katoo;inferior;4
23471;下風;kahuu;"subordinate position";4
23472;下目;sitame;"downward glance";4
23473;仮宮;karimiya;"temporary shrine";4
23474;家居;kakyo;"staying at home";4
23475;家作;kasaku;"making house";4
23476;家並;yanami;"row of houses";4
23477;歌稿;kakoo;"manuscript of poem";4
23478;河竹;kawatake;"bamboo growing along a river bank";4
23479;河底;kawazoko;riverbed;4
23480;火急;kakyuu;emergency;4
23481;火箸;hibasi;"long metal chopsticks";4
23482;火矢;hiya;"fire arrow";4
23483;花時;hanadoki;"flowering season";4
23484;花車;kyasya;dainty;4
23485;花曇;hanagumori;"hazy weather in spring";4
23486;華客;kakaku;"special guests";4
23487;画筆;gahitu;"artist's brush";4
23488;雅俗;gazoku;"refined and vulgar";4
23489;雅致;gati;artistry;4
23490;会規;kaiki;"society by-laws";4
23491;会衆;kaisyuu;audience;4
23492;廻国;kaikoku;"traveling throughout the country";4
23493;快事;kaizi;pleasure;4
23494;海豚;iruka;dolphin;4
23495;海豹;azarasi;"true seal";4
23496;絵付;etuke;"ceramics painting";4
23497;開平;kaihei;"extraction of square root";4
23498;外連;keren;"playing to the gallery";4
23499;柿色;kakiiro;reddish-brown;4
23500;角番;kadoban;"make-or-break game in a go or shogi tournament";4
23501;革質;kakusitu;coriaceous;4
23502;顎骨;gakkotu;jawbone;4
23503;掛詞;kakekotoba;pun;4
23504;掛軸;kakeziku;"hanging scroll";4
23505;活殺;kassatu;"life or death";4
23506;褐藻;kassoo;"brown algae";4
23507;兜虫;kabutomusi;"rhinoceros beetle";4
23508;蒲柳;horyuu;"purple willow";4
23509;乾留;kanryuu;"dry distillation";4
23510;勧請;kanzyoo;"praying for the coming of a deity";4
23511;巻貝;makigai;snail;4
23512;姦計;kankei;trick;4
23513;環海;kankai;"surrounding seas";4
23514;管見;kanken;"narrow insight";4
23515;観菊;kangiku;"chrysanthemum viewing";4
23516;還幸;kankoo;"return of the Emperor";4
23517;眼疾;gansitu;"eye disease";4
23518;基線;kisen;"base line";4
23519;旗日;hatabi;"national holiday";4
23520;帰参;kisan;"returning to the service of one's master";4
23521;帰心;kisin;homesickness;4
23522;気嚢;kinoo;"air bladder or sac";4
23523;汽缶;kikan;boiler;4
23524;季候;kikoo;season;4
23525;輝線;kisen;"bright line";4
23526;技手;gisyu;"assistant engineer";4
23527;義挙;gikyo;"noble undertaking";4
23528;義絶;gizetu;disownment;4
23529;議了;giryoo;"finishing discussion";4
23530;菊判;kikuban;A5;4
23531;吃驚;bikkuri;"to be surprised";4
23532;喫水;kissui;"sea gauge";4
23533;客土;kakudo;"land which one visits";4
